Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,ReadProtected,WriteProtected,CalReg
BNKF_C0,6,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C1,6,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C2,6,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C3,6,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C4,6,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C5,6,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C6,6,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C7,6,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C8,6,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C9,6,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C10,6,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C11,6,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C12,6,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C13,6,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C14,6,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C15,6,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C16,6,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C17,6,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C18,6,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C19,6,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C20,6,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKF_C21,6,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
